system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.inp	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.inp	578	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.opt	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.opt	128140	
amp	canonical	frame12	dry	primary	normal	/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.out	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.out	24625068	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.xyz	12255	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry_trj.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry_trj.xyz	1250478	
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12.xyz	12247	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed-constraints.csv	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed-constraints.csv	375502	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed-md-ener.csv	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed-md-ener.csv	284284	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed.bibtex	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed.bibtex	4334	non-primary dry check or exploratory calculation
amp	canonical	frame12	dry/dry_md	check		/data/Seafile/amp/frames/frame12/dry/dry_md/amp_frame12_dry_md_fixed.densitiesinfo	data/primary_calculations/canonical_surface/amp/checks/frame12/dry/dry_md/amp_frame12_dry_md_fixed.densitiesinfo	1838	non-primary dry check or exploratory calculation
